pmid,journal
28145631,"Small (Weinheim an der Bergstrasse, Germany)"
27910042,"Methods in molecular biology (Clifton, N.J.)"
27702986,EMBO reports
27790870,The FEBS journal
27697633,International journal of pharmaceutics
27350605,"Stem cells (Dayton, Ohio)"
41632409,Journal of molecular neuroscience : MN
41278743,bioRxiv : the preprint server for biology
41273648,"Methods in molecular biology (Clifton, N.J.)"
41075785,Neuron
41020860,Current issues in molecular biology
40913769,Cell reports
40715177,Scientific reports
40715046,Cell death & disease
40712017,Science advances
40299704,Proceedings of the National Academy of Sciences of the United States of America
40185089,Stem cell reports
40144372,Vavilovskii zhurnal genetiki i selektsii
39994412,Neuro-oncology
39937646,Cell reports
39884380,Neuroscience letters
39827939,Neurochemistry international
39675772,Cell proliferation
39602292,Molecular biology of the cell
39551613,Cell proliferation
39505927,Scientific reports
39484396,bioRxiv : the preprint server for biology
39279468,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
39272980,Cells
39236715,Cell reports methods
39068473,European journal of medical research
39014391,Inflammation and regeneration
38956165,Nature neuroscience
38891029,Cells
38709826,Stem cells translational medicine
38688721,The Journal of neuroscience : the official journal of the Society for Neuroscience
38444255,Current drug targets
38273708,"Bioinformatics (Oxford, England)"
38246449,International journal of biological macromolecules
38221746,ACS nano
38175538,Bioscience reports
38164119,Stem cells and development
38132138,Cells
38066314,Nature aging
38003351,International journal of molecular sciences
37961663,bioRxiv : the preprint server for biology
37461485,bioRxiv : the preprint server for biology
37171961,Cell reports
37126716,Proceedings of the National Academy of Sciences of the United States of America
37114566,Genes to cells : devoted to molecular & cellular mechanisms
37084708,Cell proliferation
36424465,Nature biomedical engineering
36417510,Science advances
36206732,Cell stem cell
36111787,eLife
35877103,Cellular reprogramming
35561200,"Bioinformatics (Oxford, England)"
35507160,"Methods in molecular biology (Clifton, N.J.)"
35399519,Frontiers in cell and developmental biology
35373464,EMBO molecular medicine
34549796,The International journal of developmental biology
34477109,eLife
34331868,Developmental cell
34324188,"Methods in molecular biology (Clifton, N.J.)"
34324182,"Methods in molecular biology (Clifton, N.J.)"
34324177,"Methods in molecular biology (Clifton, N.J.)"
34324176,"Methods in molecular biology (Clifton, N.J.)"
34289357,Cell reports
34171285,Stem cell reports
34128504,Biomaterials science
33770499,Stem cell reports
33649354,Cell death & disease
33508941,ACS chemical neuroscience
33452356,Scientific reports
33279477,Experimental cell research
33226618,"Methods in molecular biology (Clifton, N.J.)"
33226613,"Methods in molecular biology (Clifton, N.J.)"
33218208,"Molecules (Basel, Switzerland)"
33182669,Cells
33129359,Military Medical Research
33125875,Stem cell reports
33099273,Aging
33047251,Journal of molecular neuroscience : MN
32976765,Stem cell reports
32602462,eLife
32596666,Neuroscience insights
32586386,Stem cell research & therapy
32562755,Developmental biology
32344104,Neuroscience letters
32188700,Genome research
32156628,Brain research bulletin
32071715,Translational neurodegeneration
31988387,Scientific reports
31813268,Cell transplantation
31743695,Progress in neuro-psychopharmacology & biological psychiatry
31535361,FEBS letters
31523820,Journal of cellular physiology
31485717,Cellular and molecular life sciences : CMLS
31474031,International journal of stem cells
31427575,Nature communications
31315047,Cell reports
31255287,Biochemical and biophysical research communications
31155484,Cell stem cell
31145813,"Stem cells (Dayton, Ohio)"
31099332,eLife
31088631,Medical hypotheses
31086315,Nature neuroscience
30948783,Nature communications
30880587,Stem cells and development
30814572,Scientific reports
30638745,Neuron
30584811,Expert opinion on biological therapy
30529222,Biochimica et biophysica acta. Molecular cell research
30450440,Heliyon
30355503,Cell reports
30318292,Stem cell reports
30316806,Molecular metabolism
30305733,Nature
30100395,EBioMedicine
30091580,ACS chemical neuroscience
30063705,PLoS genetics
30018471,Journal of stem cells & regenerative medicine
29974865,Developmental cell
29937717,Frontiers in cellular neuroscience
29909355,Current opinion in genetics & development
29901127,Molecular medicine reports
29733894,Drug discovery today
29606615,Stem cell reports
29598153,Human gene therapy
29506416,"Artificial cells, nanomedicine, and biotechnology"
29462562,ACS nano
29377330,Cell biology international
29311646,Scientific reports
29169271,Journal of biomaterials applications
29156730,Oncotarget
29137640,Journal of nanobiotechnology
29024560,Stem cells translational medicine
28915325,Comprehensive Physiology
28855426,"Biomedical materials (Bristol, England)"
28853082,Bulletin of experimental biology and medicine
28844658,Stem cell reports
28844127,International journal of stem cells
28737745,Nature nanotechnology
28697461,Stem cell research
28580167,Cell discovery
28480968,Journal of cellular physiology
28344001,Stem cell reports
28327614,Scientific reports
28169300,Nature communications
28157484,Stem cell reports
28099929,Oncotarget
28006658,Biomaterials
27940274,Stem cell reports
27939218,Cell stem cell
27917895,Scientific reports
27880907,Cell reports
27857203,Scientific reports
31816186,Current protocols in stem cell biology
27716980,"BioEssays : news and reviews in molecular, cellular and developmental biology"
41916284,Cell stem cell
41166658,Cardiology in review
41102149,Cell death & disease
40853551,Inflammation research : official journal of the European Histamine Research Society ... [et al.]
40007118,Molecular therapy : the journal of the American Society of Gene Therapy
39851272,"Stem cells (Dayton, Ohio)"
39720701,Molecular therapy. Nucleic acids
39566976,"Internal medicine (Tokyo, Japan)"
39349833,Experimental & molecular medicine
39330331,Journal of cardiovascular development and disease
39196156,Nature cardiovascular research
38997507,Molecular and cellular biochemistry
38755186,Nature communications
38530808,Protein & cell
38524149,Nature cardiovascular research
38110996,Stem cell research & therapy
37699016,PloS one
37481722,Cell reports
37190075,Cells
37010803,Current cardiology reports
36997058,Journal of molecular and cellular cardiology
36989109,STAR protocols
36918145,Journal of molecular and cellular cardiology
36503256,Circulation
36499508,International journal of molecular sciences
36007393,Journal of molecular and cellular cardiology
35811849,iScience
35688153,Stem cell reports
35213232,Science advances
35127713,Frontiers in cell and developmental biology
35118430,STAR protocols
34509499,Journal of molecular and cellular cardiology
34332145,Molecular therapy : the journal of the American Society of Gene Therapy
34304993,Seminars in cell & developmental biology
34208439,Cells
34206684,Cells
34151292,STAR protocols
34087994,Stem cell research
33984769,Biochemical and biophysical research communications
33718351,Frontiers in cell and developmental biology
33524540,Pharmacological research
33452355,Scientific reports
33359755,Journal of molecular and cellular cardiology
33226611,"Methods in molecular biology (Clifton, N.J.)"
33087505,Science translational medicine
32857980,Stem cell reports
32857372,"Methods in molecular biology (Clifton, N.J.)"
32562156,Current cardiology reports
32346096,Scientific reports
32274291,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
31979018,Cells
31915320,The Keio journal of medicine
31722555,Cell transplantation
31660065,Theranostics
31622977,PloS one
31541743,Journal of cardiac failure
31081174,Journal of cellular biochemistry
31080136,Cell stem cell
31059054,Molecular medicine reports
30787297,Nature communications
30566050,Circulation research
30513475,Biomaterials
30449705,Stem cell reports
30189626,International journal of molecular sciences
30100166,Cell stem cell
30026272,"Arteriosclerosis, thrombosis, and vascular biology"
29947252,Cell transplantation
29912202,Journal of visualized experiments : JoVE
29867004,"Medicines (Basel, Switzerland)"
29731772,Stem cells international
29444441,Cell reports
29276141,Cell stem cell
29209617,Frontiers in cardiovascular medicine
29072293,Nature
29038558,Scientific reports
28825623,International journal of molecular sciences
28529134,Journal of cardiac failure
28502796,Journal of molecular and cellular cardiology
28209718,Circulation research
27941896,Scientific reports
27834668,Circulation
27726873,The Journal of thoracic and cardiovascular surgery
27554127,Current treatment options in cardiovascular medicine
27553283,Biochemical and biophysical research communications
27473056,Stem cell research & therapy
27296220,Stem cell research & therapy
27194122,"Genesis (New York, N.Y. : 2000)"
27088312,Nature methods
27077806,Cell death & disease
26957038,Stem cell research
26942853,Cell stem cell
26898431,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie
26757100,Cellular reprogramming
26725881,Current gene therapy
26649751,Journal of visualized experiments : JoVE
26449528,Scientific reports
26398309,Biomaterials
26354680,Nature communications
26354121,Proceedings of the National Academy of Sciences of the United States of America
26302234,Biomaterials
26230692,International journal of molecular sciences
26153229,"Development (Cambridge, England)"
26142823,Cytokine
26098448,Nature biotechnology
26042385,Nature protocols
25744738,Circulation journal : official journal of the Japanese Circulation Society
25344074,"Development (Cambridge, England)"
25132967,Molecular and cellular therapies
25090621,Cellular reprogramming
24753644,Iranian journal of medical sciences
24319660,Stem cell reports
24079415,Annual review of physiology
23861494,Proceedings of the National Academy of Sciences of the United States of America
23773820,Biomaterials
23771947,Cardiovascular research
23760445,Molecular therapy : the journal of the American Society of Gene Therapy
23722259,Nature protocols
23704920,PloS one
23591016,Journal of molecular and cellular cardiology
23487791,Proceedings of the National Academy of Sciences of the United States of America
23474887,"Proceedings of the Japan Academy. Series B, Physical and biological sciences"
23405120,PloS one
23395636,Cell reports
23320478,Current gene therapy
23212180,Cell biochemistry and biophysics
23054660,Journal of cardiovascular translational research
22837163,Circulation
22826236,Proceedings of the National Academy of Sciences of the United States of America
22770847,Trends in molecular medicine
22660318,Nature
22652883,Frontiers in bioscience (Scholar edition)
22581928,Circulation research
22522929,Nature
22522700,The EMBO journal
22447133,Nature methods
22056652,Journal of pharmacological sciences
22029419,Cellular reprogramming
21948151,Stem cell reviews and reports
21600215,Journal of molecular and cellular cardiology
21278734,Nature cell biology
21241459,Stem cell research & therapy
20691899,Cell
20682439,Cell stem cell
20682060,BMC developmental biology
19926393,Differentiation; research in biological diversity
19628793,Circulation research
18509294,Minerva cardioangiologica
18450826,"Stem cells (Dayton, Ohio)"
18421080,Investigative ophthalmology & visual science
18223188,American journal of physiology. Heart and circulatory physiology
18059141,Experimental & molecular medicine
18050204,Arthritis and rheumatism
16519739,Immunology and cell biology
15914113,Cardiovascular research
15474453,Biochemical and biophysical research communications
14680501,Arthritis research & therapy
12923898,"The anatomical record. Part A, Discoveries in molecular, cellular, and evolutionary biology"
12878947,The Journal of thoracic and cardiovascular surgery
41906758,Journal of agricultural and food chemistry
41862438,Cell death & disease
41809448,World journal of gastroenterology
40069754,Stem cell research & therapy
39821828,Science China. Life sciences
39707412,Journal of translational medicine
39707064,Cell biology and toxicology
38721807,Chinese medical journal
38465578,Biomaterials
38262709,"Stem cells (Dayton, Ohio)"
38250613,International journal of medical sciences
37813066,Acta histochemica
37771785,Theranostics
37705741,International journal of biological sciences
36125722,"Methods in molecular biology (Clifton, N.J.)"
35883581,Cells
34996824,Gut
34324208,European journal of immunology
34302118,Oncogene
34051011,Cancer science
33461059,Biomaterials
33087715,Nature communications
33064855,Genes to cells : devoted to molecular & cellular mechanisms
32655618,Frontiers in genetics
32552862,Clinical epigenetics
32476287,Journal of tissue engineering and regenerative medicine
32439161,Biochemical and biophysical research communications
32317078,BMB reports
31894130,Journal of biosciences
31864907,Molecular therapy : the journal of the American Society of Gene Therapy
31784643,Scientific reports
31722057,Digestive diseases and sciences
31685034,Stem cell research & therapy
31651102,FEBS open bio
31547878,Stem cell research & therapy
31374480,Biomaterials
31127852,FEBS letters
30805989,"Stem cells (Dayton, Ohio)"
30776728,Differentiation; research in biological diversity
30670575,Gut
30611717,EBioMedicine
30539787,Cellular and molecular gastroenterology and hepatology
30536093,"Methods in molecular biology (Clifton, N.J.)"
30327781,BioMed research international
30240598,Journal of hepatology
30180963,Gene
31949838,International journal of clinical and experimental pathology
30057318,Biochemical and biophysical research communications
29871934,Cancer research
29720662,Nature
29578255,The journal of gene medicine
29550076,Molecular therapy : the journal of the American Society of Gene Therapy
29545603,Oncogene
29394503,"Hepatology (Baltimore, Md.)"
29192290,Scientific reports
29096722,Stem cell research & therapy
28988715,Molecular therapy : the journal of the American Society of Gene Therapy
28665920,Experimental & molecular medicine
28447719,Molecular medicine reports
28363269,Human gene therapy. Clinical development
28284717,The American journal of pathology
28100871,Endocrine journal
27924948,Scientific reports
27902735,PloS one
27530815,Hepatology international
27476557,Scientific reports
27460218,Stem cell research & therapy
27403168,Stem cells international
27257763,Cell stem cell
27160211,"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology"
27149847,Cell reports
27103435,Biochemical and biophysical research communications
27076404,Cell transplantation
27048872,Nature communications
27001466,Experimental cell research
26857226,Cytotherapy
26840458,Oncotarget
26811208,Trends in endocrinology and metabolism: TEM
26281015,PloS one
26224135,Scientific reports
26216300,Molecular psychiatry
26023233,The Journal of biological chemistry
25973537,Journal of gastroenterology and hepatology
25917329,FASEB journal : official publication of the Federation of American Societies for Experimental Biology
25815812,PloS one
25730278,The Biochemical journal
25646614,"Methods in molecular biology (Clifton, N.J.)"
25476775,Cell death and differentiation
25454632,Stem cell reports
25411615,Journal of diabetes investigation
25169976,American journal of physiology. Gastrointestinal and liver physiology
25153359,Cellular reprogramming
24642599,PloS one
24504462,PloS one
24459144,The Journal of biological chemistry
24380658,Cellular reprogramming
24162002,Experimental cell research
24047406,Cell communication and signaling : CCS
23871605,Cell stem cell
26201932,Hepatology international
23744720,Journal of cellular biochemistry
23642065,Current molecular medicine
23623692,Cytotherapy
23520387,Genes & development
23315998,"Hepatology (Baltimore, Md.)"
23293075,The journal of gene medicine
23110179,PloS one
23084400,Cell
22949652,Proceedings of the National Academy of Sciences of the United States of America
22762041,International journal of ophthalmology
22652787,Frontiers in bioscience (Landmark edition)
22095555,"Hepatology (Baltimore, Md.)"
21990348,Proceedings of the National Academy of Sciences of the United States of America
21962918,Cell stem cell
21703267,Gastroenterology
21533226,PloS one
21497092,Current biology : CB
21327936,Cytotechnology
21187045,Medecine sciences : M/S
21082407,"Methods in molecular biology (Clifton, N.J.)"
20945437,Journal of cellular physiology
20663865,The Journal of biological chemistry
20563835,Molecular and cellular biochemistry
20353420,Liver international : official journal of the International Association for the Study of the Liver
20178796,Gastroenterology
20018873,The Journal of biological chemistry
19755420,The Journal of biological chemistry
19660180,Cell transplantation
19295131,Journal of cell science
19089370,"Methods in molecular biology (Clifton, N.J.)"
41379378,Tissue engineering and regenerative medicine
41338386,Journal of advanced research
41287966,"Arteriosclerosis, thrombosis, and vascular biology"
41176934,Biochemical and biophysical research communications
41163067,Stem cell research & therapy
41077784,Molecular therapy : the journal of the American Society of Gene Therapy
41008846,Cancers
40818661,Life sciences
40400239,"Growth factors (Chur, Switzerland)"
40305664,Blood advances
40195474,Cellular & molecular immunology
39967482,"Small (Weinheim an der Bergstrasse, Germany)"
39911402,Frontiers in immunology
39798934,Biochemical pharmacology
39724753,"Neoplasia (New York, N.Y.)"
39696518,Stem cell research & therapy
39623443,Journal of nanobiotechnology
39576259,Endocrinology
39519109,International journal of molecular sciences
39420370,Respiratory research
38911285,Advanced nanobiomed research
38807115,Cell communication and signaling : CCS
37656269,Molecular biology reports
37625131,Diabetes
37129167,ACS biomaterials science & engineering
37060562,Cell reports
37023614,Biochemical and biophysical research communications
36205515,Journal of agricultural and food chemistry
36096985,Cell death & disease
35841027,Stem cell research & therapy
35316840,Diabetologia
35113304,Molecular biology reports
35081258,Journal of anatomy
35053317,Cells
34848685,Nature communications
34637623,Cellular reprogramming
34610301,Cell reports
34592781,Journal of cellular and molecular medicine
34473703,PloS one
34440909,Cells
34266726,Journal of dermatological science
34244757,Human molecular genetics
33593822,Cancer research
33547047,Diabetes
33313721,Acta biochimica et biophysica Sinica
33260559,International journal of molecular sciences
33239022,Journal of neuroinflammation
33193732,Frontiers in genetics
32629974,Cancers
32582987,Molecular medicine reports
31847477,Cells
31634482,Experimental cell research
31297875,Journal of cellular biochemistry
31292364,Journal of UOEH
31286562,Journal of orthopaedic research : official publication of the Orthopaedic Research Society
31275609,NPJ systems biology and applications
30858455,Scientific reports
30846549,Proceedings of the National Academy of Sciences of the United States of America
30835040,Molecular biology reports
30760321,Stem cell research & therapy
30637802,Glia
30636861,Molecular vision
30362196,Cell biology international
30290164,Experimental eye research
30244523,Aging cell
30019931,American journal of physiology. Renal physiology
29982622,International immunology
29483820,International journal of biological sciences
29365349,The Journal of pharmacy and pharmacology
29328529,Environmental toxicology
29115987,Stem cell research & therapy
29025873,The Journal of cell biology
28934847,Cancer research and treatment
28813430,PloS one
28754668,Cancer research
28639695,The Journal of pathology
28290453,Nature communications
28276156,"Stem cells (Dayton, Ohio)"
28223284,Diabetes
28185836,Experimental cell research
28111277,Stem cell reports
28109697,Matrix biology : journal of the International Society for Matrix Biology
28101909,Journal of tissue engineering and regenerative medicine
28065642,Stem cell reports
41554016,Journal of visualized experiments : JoVE
41056800,Archives of oral biology
41040256,bioRxiv : the preprint server for biology
40899274,Circulation research
39651397,Bioactive materials
39604331,Nature communications
39264078,Physiological research
39003263,Nature communications
38903080,bioRxiv : the preprint server for biology
38826452,bioRxiv : the preprint server for biology
36991428,Molecular cancer
36921730,Transplant immunology
36052494,Cancer research
35926149,Journal of cellular biochemistry
35301470,Cellular & molecular immunology
35266960,The Journal of experimental medicine
34010630,Developmental cell
33848809,Biomaterials
33780637,Cellular reprogramming
33473142,Scientific reports
33253203,PLoS genetics
33188841,Cancer letters
33165863,"Methods in molecular biology (Clifton, N.J.)"
33109258,Stem cell research & therapy
32430183,Biochemical and biophysical research communications
31412725,Circulation
31272680,Placenta
31178416,Stem cell reports
31175644,"Methods in molecular biology (Clifton, N.J.)"
30758710,Cell and tissue research
29967604,Frontiers in immunology
29769317,The Journal of biological chemistry
29765516,Oncotarget
29269413,The Journal of biological chemistry
29177855,"Methods in molecular biology (Clifton, N.J.)"
28916494,Advanced drug delivery reviews
28859546,"Bioscience, biotechnology, and biochemistry"
28852936,Cell and tissue research
28717251,Scientific reports
28299650,Advances in experimental medicine and biology
28096214,"Development (Cambridge, England)"
28068409,PloS one
28062404,Annals of the rheumatic diseases
28003219,Circulation research
27835665,PloS one
27798275,Molecular human reproduction
27778229,In vitro cellular & developmental biology. Animal
27732845,Cell reports
27666791,Stem cell reports
27623813,Circulation research
27541266,PLoS genetics
27488544,Stem cell research & therapy
27459700,Radiation research
27188869,"Cellular and molecular biology (Noisy-le-Grand, France)"
27081470,Journal of tissue engineering
27033454,Cancer letters
26925780,PloS one
26874281,Biomaterials
26758270,Annals of hematology
26370928,Biomaterials
26063314,Thrombosis and haemostasis
26057707,Scientific reports
26047014,PloS one
25716801,Scientific reports
25680479,Stem cell reports
25458894,Stem cell reports
25303939,Diabetes & vascular disease research
25186941,Circulation
25175072,"Stem cells (Dayton, Ohio)"
25146389,Nature communications
25030167,Nature
24740884,"Stem cells (Dayton, Ohio)"
24672757,Stem cell reports
24246814,[Zhonghua yan ke za zhi] Chinese journal of ophthalmology
24146984,PloS one
24008336,The Journal of pharmacology and experimental therapeutics
23896001,Biomaterials
23817132,Stem cells translational medicine
23529184,Circulation research
23520160,"Arteriosclerosis, thrombosis, and vascular biology"
23478301,Cell research
41714703,Nature cell biology
41465516,International journal of molecular sciences
41303440,International journal of molecular sciences
40999437,Virology journal
40502982,International journal of nanomedicine
39818090,International immunopharmacology
38986820,Biochimica et biophysica acta. Molecular basis of disease
38843385,Aging
38117752,"Journal of immunology (Baltimore, Md. : 1950)"
37682326,Clinical cancer research : an official journal of the American Association for Cancer Research
37058110,Cancer immunology research
36931990,Dental materials : official publication of the Academy of Dental Materials
36330517,Frontiers in immunology
36081178,Cellular immunology
36045608,European journal of immunology
35255257,Atherosclerosis
34942563,Biomaterials
34925343,Frontiers in immunology
34900687,Frontiers in oncology
34341536,Nature biomedical engineering
33770473,eLife
33762327,"Journal of immunology (Baltimore, Md. : 1950)"
33516965,Vascular pharmacology
33497421,PLoS pathogens
33169236,"Journal of molecular medicine (Berlin, Germany)"
32514124,Nature genetics
31767627,Cancer research
31697816,Blood
31393266,eLife
31315669,Stem cell research & therapy
31151137,European journal of immunology
30530727,Science immunology
30379806,PLoS biology
29958800,Immunity
29427515,The Journal of physiology
28771465,PLoS biology
28068328,Oncogene
24838272,Journal of molecular cell biology
24832604,Cell death & disease
24710923,Journal of Huazhong University of Science and Technology. Medical sciences = Hua zhong ke ji da xue xue bao. Yi xue Ying De wen ban = Huazhong keji daxue xuebao. Yixue Yingdewen ban
24703689,Cell metabolism
24672758,Stem cell reports
24636737,Stem cell research & therapy
24572354,Nature
24568633,Cellular reprogramming
24561253,Cell reports
24506886,Cell stem cell
24434629,Stem cell research
24123565,"Stem cells (Dayton, Ohio)"
24078387,Protein & cell
23979017,Cell research
23891805,Molecular and cellular neurosciences
23821545,The Journal of biological chemistry
23642058,Current molecular medicine
23555815,PloS one
23534850,Stem cells and development
23489923,Biomaterials
23439651,The Journal of biological chemistry
23438847,Folia biologica
23426161,"Current opinion in endocrinology, diabetes, and obesity"
23377265,Acta neurobiologiae experimentalis
23285249,PloS one
23262101,Yi chuan = Hereditas
23213213,Proceedings of the National Academy of Sciences of the United States of America
23125037,Angewandte Chemie (International ed. in English)
23118351,Human molecular genetics
23029150,PloS one
23011139,Nature communications
22877822,Stem cell research
22713507,Aging
22693173,"Human reproduction (Oxford, England)"
22671711,Stem cells and development
22589372,Circulation research
22567022,Stem cells international
22388813,Nature
22046312,PloS one
21886809,PloS one
21708888,Blood
21615676,Aging cell
21563278,"Stem cells (Dayton, Ohio)"
21473689,Cellular reprogramming
21425417,"Stem cells (Dayton, Ohio)"
21390254,PloS one
21314494,Expert opinion on biological therapy
21209933,PloS one
21207217,Journal of cardiovascular translational research
22523467,Journal of biomedicine & biotechnology
20956998,Cell research
20808872,PloS one
20691874,Methods in enzymology
20528610,Expert opinion on biological therapy
20073085,"Stem cells (Dayton, Ohio)"
20014278,"Stem cells (Dayton, Ohio)"
19896434,Cell stem cell
19427283,Cell stem cell
18983970,Cell stem cell
18568017,Nature biotechnology
40478595,Advanced healthcare materials
40478241,ACS applied materials & interfaces
40397547,Journal of agricultural and food chemistry
40253698,Cell reports
40047388,Journal of agricultural and food chemistry
40037390,"Stem cells (Dayton, Ohio)"
40027739,bioRxiv : the preprint server for biology
40024340,Journal of controlled release : official journal of the Controlled Release Society
39952239,Cell stem cell
39862169,"Stem cells (Dayton, Ohio)"
39856124,Scientific reports
39684497,International journal of molecular sciences
39664576,International journal of biological sciences
39603130,Journal of hazardous materials
39315679,Journal of extracellular vesicles
39273117,International journal of molecular sciences
39270628,Biomaterials
38763703,Advances in immunology
38607067,Cells
38582260,Journal of molecular and cellular cardiology
38342611,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
38260259,bioRxiv : the preprint server for biology
40702752,CNS neuroscience & therapeutics
40645016,Stem cell research
40501814,bioRxiv : the preprint server for biology
40389045,Cellular signalling
40365863,eLife
40253386,Cell death & disease
40220513,Stem cell research
39955853,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie
39929812,Nature communications
39841146,Proceedings of the National Academy of Sciences of the United States of America
39773029,Proceedings of the National Academy of Sciences of the United States of America
39754619,Stem cell reviews and reports
39675552,Life sciences
39561122,PloS one
42109718,Frontiers in endocrinology
42059171,The Malaysian journal of pathology
42053710,Bulletin of experimental biology and medicine
42001345,Human cell
42000543,Stem cell research
41957290,Communications biology
41833207,Stem cell research
41713384,Stem cell research
41691922,Cytotherapy
41677646,Cells
41676611,bioRxiv : the preprint server for biology
41635226,Human gene therapy
41443352,Journal of controlled release : official journal of the Controlled Release Society
41385812,Stem cell research
41225540,Stem cell research & therapy
41218450,Stem cell research
41210051,Cureus
41094238,EMBO reports
41046688,Stem cell research
41009511,International journal of molecular sciences
40965814,Stem cell reviews and reports
40896963,Stem cell research
40857797,Stem cell research
40832190,bioRxiv : the preprint server for biology
40780191,Cell stem cell
40735996,Current stem cell research & therapy
40664734,Scientific reports
40633253,Stem cell research
40602288,Stem cell research
40531848,Nano letters
40516148,Stem cell research
40475416,bioRxiv : the preprint server for biology
40463008,bioRxiv : the preprint server for biology
40393193,Stem cell research
40387991,"Methods in molecular biology (Clifton, N.J.)"
40338744,Cell reports
40320363,Cell proliferation
40280000,Stem cell research
40211860,Clinical and experimental pediatrics
40176124,European journal of medical research
40126163,Cellular reprogramming
40102626,Communications biology
40086264,Stem cell research
40080267,Human cell
40069895,Biological research
40058721,Experimental eye research
40025812,International journal of cancer
40004040,International journal of molecular sciences
39778439,Stem cell research
39755011,Stem cell research
39737935,Nature communications
39729987,Developmental cell
39722675,Vavilovskii zhurnal genetiki i selektsii
39701018,Stem cell research
39684837,International journal of molecular sciences
39642595,Stem cell research
39603093,Stem cell research
39590341,Current issues in molecular biology
39579312,"Methods in molecular biology (Clifton, N.J.)"
39543096,Nature communications
39504763,Stem cell research
39461114,Stem cell research
39408944,International journal of molecular sciences
39403363,Basic and clinical neuroscience
39332134,Stem cell research
39332132,Stem cell research
39317061,Stem cell research
39299133,Stem cell research
39125577,International journal of molecular sciences
39105912,"Methods in molecular biology (Clifton, N.J.)"
38979277,bioRxiv : the preprint server for biology
38968760,Stem cell research
38891096,Cells
38854155,bioRxiv : the preprint server for biology
38852423,Stem cell research
38741435,Folia neuropathologica
38718593,Stem cell research
38701780,Stem cell reports
38699229,Frontiers in genetics
38636268,Stem cell research
38630225,"Methods in molecular biology (Clifton, N.J.)"
38615589,Stem cell research
38552357,Stem cell research
38542391,International journal of molecular sciences
38515646,Experimental and therapeutic medicine
38501408,Nan fang yi ke da xue xue bao = Journal of Southern Medical University
38473927,International journal of molecular sciences
38452705,Stem cell research
38430737,Stem cell research
38412659,Stem cell research
38394970,Stem cell research
38341988,Stem cell research
38335955,Cell systems
38335662,Stem cell research
38328220,bioRxiv : the preprint server for biology
38281813,International journal of stem cells
38203497,International journal of molecular sciences
38192844,Heliyon
38179771,Frontiers in bioscience (Landmark edition)
38176367,Stem cell research
38107517,Frontiers in endocrinology
38100913,Stem cell research
38100910,Stem cell research
38019912,Science advances
38006675,Stem cell research
38000027,Science advances
37936209,Stem cell research & therapy
37873116,bioRxiv : the preprint server for biology
37856927,Stem cell research
37832543,Stem cell reports
37788557,Stem cell research
37769039,Cellular reprogramming
37753387,Regenerative therapy
37662218,bioRxiv : the preprint server for biology
37637078,Bioactive materials
37611093,Science advances
37607832,Nucleic acids research
37603219,Human cell
37559144,Stem cell research & therapy
37519296,Frontiers in cell and developmental biology
37506509,Stem cell research
37452918,Tissue engineering and regenerative medicine
37429069,Stem cell research
37401274,European review for medical and pharmacological sciences
37393720,Stem cell research
37392704,Stem cell research
37392703,Stem cell research
37371832,Biomedicines
37357214,Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine]
37307755,Stem cell research
37291192,Nature communications
37269666,Stem cell research
37214315,Molecular therapy. Methods & clinical development
37186116,Molecular omics
37174738,Cells
37156062,Stem cell research
37150143,Stem cell research
37148820,Stem cell research
37104933,Stem cell research
37099933,Stem cell research
37067734,In vitro cellular & developmental biology. Animal
37054903,Gene
37034770,bioRxiv : the preprint server for biology
37028179,Stem cell research
37009886,Inflammation and regeneration
36958215,Stem cell research
36951064,"Arteriosclerosis, thrombosis, and vascular biology"
36946035,Nan fang yi ke da xue xue bao = Journal of Southern Medical University
36845191,Frontiers in bioengineering and biotechnology
36835562,International journal of molecular sciences
36798299,bioRxiv : the preprint server for biology
36764520,The Journal of biological chemistry
36747813,bioRxiv : the preprint server for biology
36717582,Nature communications
36691621,iScience
36684426,Frontiers in cell and developmental biology
36669241,Stem cell research
36660740,American journal of stem cells
36614165,International journal of molecular sciences
36598319,Bratislavske lekarske listy
36595898,STAR protocols
36581370,International journal of stem cells
36534237,Molecular biology reports
36527349,Cell journal
36523163,Molecular therapy : the journal of the American Society of Gene Therapy
36521382,Stem cell research
36481505,Stem cell research
36455383,Stem cell research
36425950,Basic and clinical neuroscience
36334578,Stem cell research
36270281,Stem cell reports
36244083,Stem cell research
36241921,Molecular biology reports
36187228,Stem cells international
36166871,Stem cell research
36103773,Stem cell research
36075976,Nature cell biology
36067639,Stem cell research
35961103,Stem cell research
35935494,Frontiers in bioengineering and biotechnology
35870887,BMC molecular and cell biology
35853414,Stem cell research
35843023,Stem cell research
35843019,Stem cell research
35791490,Iranian biomedical journal
35772299,Stem cell research
35700633,Stem cell research
35679757,Stem cell research
35667217,Stem cell research
35592616,Biochemistry and biophysics reports
35535453,Journal of cellular biochemistry
35488386,Cancer medicine
