pmid,journal
28262548,Stem cell reports
28197667,Cellular and molecular life sciences : CMLS
28071742,Scientific reports
27651888,Skeletal muscle
27554796,Cardiology
25834424,International journal of nanomedicine
25317562,Nature
23794713,Cardiovascular research
23626780,PloS one
23144723,PloS one
19696409,Circulation research
19578358,Nature
19396158,Nature
19203577,Cell
15492307,Circulation
41385584,PLoS biology
41173009,Stem cell reports
41033615,Journal of hepatology
40894710,bioRxiv : the preprint server for biology
40691407,Nature genetics
39864343,Translational oncology
39383220,Science advances
38725803,Annals of surgical treatment and research
38144457,iScience
37516962,Cell reports
36522156,Journal of the American Society of Nephrology : JASN
36114514,Stem cell research & therapy
35795460,National science review
35772664,The international journal of biochemistry & cell biology
35220676,Hepatology communications
34931980,Current molecular medicine
33989701,Journal of hepatology
33406413,Cell reports
33261076,Cells
33102474,Frontiers in cell and developmental biology
32755593,Molecular cell
31375924,Current diabetes reports
31089332,Stem cells international
30315254,Acta pharmacologica Sinica
29842880,Experimental cell research
29768476,PloS one
28757167,Stem cell reports
28587331,Experimental and therapeutic medicine
28571672,EBioMedicine
28407125,Journal of biochemistry
26923201,Cell stem cell
26561000,European journal of cell biology
26279745,American journal of translational research
25912033,Toxicological sciences : an official journal of the Society of Toxicology
24963715,PloS one
21654807,Nature
19289082,Developmental cell
16892179,The International journal of developmental biology
16890895,Autoimmunity reviews
16455043,Archives of biochemistry and biophysics
15939230,Mechanisms of development
15537655,The Journal of biological chemistry
11875002,Gastroenterology
41640716,Biomaterials research
41429360,Advanced drug delivery reviews
41233896,Journal of hematology & oncology
39665254,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
39393265,"Pathology, research and practice"
37751683,Developmental cell
36964318,Communications biology
36684447,Frontiers in cell and developmental biology
36647127,Particle and fibre toxicology
35609852,The Journal of nutritional biochemistry
34385420,Cell death & disease
34148307,"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology"
33115268,"Arteriosclerosis, thrombosis, and vascular biology"
33086892,Cell transplantation
31562862,Experimental cell research
30956666,Stem cells international
30782842,The Journal of biological chemistry
30679596,Scientific reports
30428345,Cell reports
30402833,European review for medical and pharmacological sciences
30365100,Molecular medicine reports
28918023,Molecular therapy. Nucleic acids
28900034,The Journal of biological chemistry
28893556,Biochimica et biophysica acta. Molecular cell research
27526291,PloS one
26540589,Nature protocols
26457418,PloS one
26221600,BioMed research international
25633317,"Arteriosclerosis, thrombosis, and vascular biology"
25621632,Antioxidants & redox signaling
25345580,Clinical and experimental medicine
25122764,The Journal of biological chemistry
24403605,Molecular biology of the cell
24343363,Nature communications
23999170,Gastroenterology
23755188,PloS one
23722620,International journal of molecular medicine
23627894,Stem cells and development
23382704,PLoS genetics
23159054,Cell host & microbe
22849859,Folia biologica
22665051,Oncogene
22606327,PloS one
22266316,Biochemical and biophysical research communications
21775990,Nature
20971966,Diabetes
20215568,Endocrinology
19818703,Cell stem cell
19553286,"Development (Cambridge, England)"
19022256,Gastroenterology
18424555,Proceedings of the National Academy of Sciences of the United States of America
17852416,Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology
17583748,The Journal of surgical research
17404611,The Journal of clinical investigation
41886078,ImmunoHorizons
40832854,Cardiovascular research
39105914,"Methods in molecular biology (Clifton, N.J.)"
38926596,Cancer gene therapy
38503291,Cell reports methods
37577183,Advanced therapeutics
36104343,Nature communications
36093045,iScience
35931032,Cell stem cell
35836274,Biomaterials research
35628587,International journal of molecular sciences
32234721,Diabetes
32201555,Journal of tissue engineering
31704097,Archives of biochemistry and biophysics
30637473,"Cancer immunology, immunotherapy : CII"
30596387,Journal of visualized experiments : JoVE
30274113,"Materials science & engineering. C, Materials for biological applications"
28943250,Stem cell reports
28552607,Stem cell reports
28514439,Nature
28114969,Stem cell research & therapy
26235892,Stem cell reports
26123569,International journal of cardiology
25775523,Proceedings of the National Academy of Sciences of the United States of America
25290189,Stem cell research
24421386,Molecular and cellular biology
23992520,British journal of pharmacology
23910075,Cell stem cell
23623495,Cell reports
22917233,Progress in molecular biology and translational science
22531924,European journal of immunology
21969581,Proceedings of the National Academy of Sciences of the United States of America
21343615,Blood
21185069,The Journal of allergy and clinical immunology
20584329,BMC developmental biology
17098231,Experimental cell research
12198161,The EMBO journal
40095298,Biotechnology progress
39537822,Communications biology
29684504,Neuroscience
25402494,PloS one
23545498,Cell reports
20502524,PLoS biology
20423304,Current medicinal chemistry
19777066,PloS one
19718018,Nature
19494571,Advances in oto-rhino-laryngology
18430530,Hearing research
17687043,The Journal of neuroscience : the official journal of the Society for Neuroscience
16425216,Journal of neurobiology
16185282,The Journal of investigative dermatology
15459106,"Development (Cambridge, England)"
17355210,Tissue engineering
17237808,Oncogene
15315119,Verhandelingen - Koninklijke Academie voor Geneeskunde van Belgie
12815054,The Journal of biological chemistry
12055092,American journal of physiology. Cell physiology
27903753,Molecular cancer therapeutics
40885192,Immunity
40466954,Biochemical pharmacology
38958026,"Development (Cambridge, England)"
38104486,Atherosclerosis
38091951,Immunity
37365888,eLife
36973489,Cellular & molecular immunology
36418765,Immunologic research
35321563,"Arteriosclerosis, thrombosis, and vascular biology"
34795667,Frontiers in immunology
34403862,Journal of neuroimmunology
33468159,Cancer cell international
33205022,iScience
33028096,"Arteriosclerosis, thrombosis, and vascular biology"
33027650,Cell reports
32602250,FEBS open bio
32434409,"Arteriosclerosis, thrombosis, and vascular biology"
30860479,eLife
30272545,Clinical and experimental rheumatology
30066839,International journal of molecular medicine
29160796,International journal of molecular sciences
25573853,"Arteriosclerosis, thrombosis, and vascular biology"
22086955,Nucleic acids research
21145760,Immunity
21036387,The Journal of allergy and clinical immunology
20969590,Immunological reviews
20504151,Stem cells and development
18423197,Cell
17603486,Nature immunology
41179113,FASEB bioAdvances
40818621,Journal of advanced research
40780195,Cell
40744016,Cell stem cell
40743622,International immunopharmacology
40588563,EMBO molecular medicine
40512396,Journal of molecular neuroscience : MN
40309255,Bioactive materials
